city,ZipCode,Price,HospitalDistance,Bank/ATM,SchoolDistance,SoldDate,BiddedDate,DistToTown,isfloodedArea,IsTsunmaiAlertedArea,Latitude,Longtitude
Kesbewa,10300,700000,1.9,0.7,1.4,,26/03/2026/,2.1,1,0,6.7787,79.9473
Homagama,10200,1300000,0.6,0.3,0.5,,26/03/2026/,0.6,0,0,6.8456,80.0036
Nugegoda,10250,3500000,1.5,1.8,1.1,,26/03/2026/,1.7,0,0,6.8721,79.8997
Rajagiriya,10107,2300000,1,0.7,4.2,,26/03/2026/,1.2,0,0,6.9094,79.8943
Maharagama,10280,2900000,0.6,0.7,0.5,,26/03/2026/,0.7,0,0,6.848,79.9265
Kottawa,10240,2400000,0.6,0.5,0.8,,26/03/2026/,1,0,0,6.8412,79.9654
Dehiwala,10350,3100000,0.6,0.4,0.2,,26/03/2026/,0.4,0,1,6.851,79.8653
Malabe,10115,1875000,2.6,2.1,1.7,,26/03/2026/,1,0,0,6.9147,79.9729
Battaramulla,10120,2700000,0.5,0.9,1.1,,24/03/2026/,0.6,0,0,6.9022,79.9192
MountLavinia,10370,4500000,0.6,0.4,0.4,,26/03/2026/,0.5,0,1,6.8389,79.8636
Talawathugoda,10116,2300000,0.5,0.7,0.9,,26/03/2026/,0.7,0,0,6.8759,79.9392
Boralesgamuwa,10290,2500000,0.8,0.6,0.9,,26/03/2026/,1.1,0,0,6.8415,79.9
Pitakotte,10100,3200000,1.6,1.1,0.1,,26/03/2026/,0.4,0,0,6.89,79.901
Pitakotte,10100,2800000,2.4,1.8,0.7,,21/03/2026/,0.8,0,0,6.8895,79.9025
Athurugiriya,10150,1170000,1.7,2,3.6,,26/03/2026/,2.1,0,0,6.877,79.988
Athurugiriya,10150,1400000,1.4,1.1,2.5,,26/03/2026/,1.6,0,0,6.8785,79.99
Kolonnawa,10600,2100000,1.2,0.5,0.7,,26/03/2026/,1.8,1,0,6.932,79.89
Kolonnawa,10600,2300000,1.1,0.6,0.8,,26/03/2026/,1.7,1,0,6.9335,79.892
Pannipitiya,10230,1750000,3.1,2.3,0.9,,26/03/2026/,2.2,0,0,6.843,79.955
Pannipitiya,10230,2480000,1.7,0.9,0.6,,26/03/2026/,1.2,0,0,6.842,79.9565
Moratuwa,10400,950000,2.6,1.8,1.4,,24/03/2026/,0.6,0,1,6.773,79.881
Moratuwa,10400,920000,3.1,1.7,2.1,,26/03/2026/,0.7,0,1,6.775,79.8825
Rathmalana,10390,1740000,1.8,1.1,0.9,,26/03/2026/,1.2,0,1,6.821,79.87
Rathmalana,10390,2170000,1.4,0.8,0.6,,26/03/2026/,0.9,0,1,6.8225,79.872
Pitakotte,10100,2500000,2.5,1.9,1.1,,25/03/2026/,1.4,0,0,6.8915,79.9
Athurugiriya,10150,970000,2.7,2.1,4.1,,26/03/2026/,2.7,0,0,6.879,79.987
Kolonnawa,10600,2200000,1.3,0.5,0.7,,26/03/2026/,1.9,1,0,6.934,79.889
Pannipitiya,10230,1490000,3.6,2.7,2.1,,26/03/2026/,2.1,0,0,6.844,79.954
Moratuwa,10400,990000,2.5,1.8,2.1,,26/03/2026/,2.5,0,1,6.772,79.88
Rathmalana,10390,2970000,1,0.7,0.3,,20/03/2026/,0.7,0,1,6.82,79.869
Pitakotte,10100,2750000,2.6,1.4,0.9,,26/03/2026/,1.3,0,0,6.892,79.903
Athurugiriya,10150,1470000,1.7,1.5,1.6,,26/03/2026/,1.7,0,0,6.876,79.9895
